id,roleId,userId,companyId,createdAt,countryId,assignedBy,assignedAt,gareId
13424ebb-a3e6-4567-923a-ec562f352f78,bf90e5dc-88a2-488c-bfa9-e1e279f93f60,61192864-9a53-429c-a38f-71cb61bfa055,1422ab71-4a45-45af-8e7c-4c72a2f9b296,2026-07-17 18:11:54.647758+00,,d8b2d654-3c92-4fb4-a52a-57012495d16d,2026-07-17 18:11:54.647758+00,
4accc605-64b2-464b-bdef-6a93d713244c,bf90e5dc-88a2-488c-bfa9-e1e279f93f60,e7291eed-faf2-4804-994d-ca5977625f7a,1422ab71-4a45-45af-8e7c-4c72a2f9b296,2026-07-17 18:31:04.71389+00,,d8b2d654-3c92-4fb4-a52a-57012495d16d,2026-07-17 18:31:04.71389+00,
ab2a0b9d-194f-47d1-9ba2-dcf6aba65609,bf90e5dc-88a2-488c-bfa9-e1e279f93f60,60e62047-2b6d-4ce4-971a-2fc077d486b0,1422ab71-4a45-45af-8e7c-4c72a2f9b296,2026-07-19 15:59:49.981262+00,,b30bbd1b-999c-4c4a-bdbf-0af71236ad01,2026-07-19 15:59:49.981262+00,
8616d336-7a0e-42d1-9bfc-50933cc524fa,184169a9-500e-4f23-bb16-ec8faa87f42f,3dbc6b28-d785-4477-a91c-9edc668ae77d,1422ab71-4a45-45af-8e7c-4c72a2f9b296,2026-07-20 08:39:10.597086+00,,d8b2d654-3c92-4fb4-a52a-57012495d16d,2026-07-20 08:39:10.597086+00,54ac35ca-0e59-4ebd-a6fb-b0b89b26ab97
63d7ffcb-43f0-4375-840c-4e0246ca2816,bf90e5dc-88a2-488c-bfa9-e1e279f93f60,20ed1188-6e90-4c5e-ac62-5827c553f29f,1422ab71-4a45-45af-8e7c-4c72a2f9b296,2026-08-01 16:21:34.565273+00,,d8b2d654-3c92-4fb4-a52a-57012495d16d,2026-08-01 16:21:34.565273+00,
8fad5d63-5666-4e5e-a389-f6978c5c3299,bf90e5dc-88a2-488c-bfa9-e1e279f93f60,38c85a7a-d9be-415a-82b0-10a62ad404bc,1422ab71-4a45-45af-8e7c-4c72a2f9b296,2026-08-01 17:45:58.039078+00,,d8b2d654-3c92-4fb4-a52a-57012495d16d,2026-08-01 17:45:58.039078+00,
1124ed3e-e4a4-4ef4-9cd7-21a222bc16c9,bf90e5dc-88a2-488c-bfa9-e1e279f93f60,85d813ad-43ac-4336-99aa-b4db2111f4ae,1422ab71-4a45-45af-8e7c-4c72a2f9b296,2026-08-01 19:00:27.573133+00,,b30bbd1b-999c-4c4a-bdbf-0af71236ad01,2026-08-01 19:00:27.573133+00,
f318ab99-f9c7-4b04-aa40-f65e96ee6af0,184169a9-500e-4f23-bb16-ec8faa87f42f,352598b5-076a-4e5f-83f7-d2e0d710dc6e,1422ab71-4a45-45af-8e7c-4c72a2f9b296,2026-08-04 21:00:14.272461+00,,b30bbd1b-999c-4c4a-bdbf-0af71236ad01,2026-08-04 21:00:14.272461+00,
3c5338da-5621-4019-8a83-b83d0d176a1c,6bce311a-82ec-4fb1-8a4b-bf5c120ba77a,a76b103c-736c-462d-8e1e-0617876d6a01,1422ab71-4a45-45af-8e7c-4c72a2f9b296,2026-08-04 21:19:27.841536+00,,b30bbd1b-999c-4c4a-bdbf-0af71236ad01,2026-08-04 21:19:27.841536+00,
5e77759f-76f3-459b-b1b3-14cad05cbd5b,6bce311a-82ec-4fb1-8a4b-bf5c120ba77a,d8b2d654-3c92-4fb4-a52a-57012495d16d,1422ab71-4a45-45af-8e7c-4c72a2f9b296,2026-08-05 09:13:10.516401+00,,d8b2d654-3c92-4fb4-a52a-57012495d16d,2026-08-05 09:13:10.516401+00,
0a70746b-4844-4812-bb1c-6ee0645d12d4,650bff1b-06d4-4fa7-bc9c-56cad8fb3d55,d8b2d654-3c92-4fb4-a52a-57012495d16d,1422ab71-4a45-45af-8e7c-4c72a2f9b296,2026-08-05 09:14:11.275522+00,,d8b2d654-3c92-4fb4-a52a-57012495d16d,2026-08-05 09:14:11.275522+00,
fa17676d-a797-44f8-9005-66c00cbfdad7,764a0c48-3e8a-4ceb-b2bc-3de5068ac1ef,85d813ad-43ac-4336-99aa-b4db2111f4ae,1422ab71-4a45-45af-8e7c-4c72a2f9b296,2026-08-15 17:09:38.12045+00,,d8b2d654-3c92-4fb4-a52a-57012495d16d,2026-08-15 17:09:38.12045+00,7fd16429-1daa-4dde-a995-c5851e984909
a57ee0e0-9f28-457f-8dc9-99b3660c3f0e,184169a9-500e-4f23-bb16-ec8faa87f42f,cecf34f4-3677-440e-b6dd-8f98722ff49b,1422ab71-4a45-45af-8e7c-4c72a2f9b296,2026-08-20 19:00:47.032044+00,,b30bbd1b-999c-4c4a-bdbf-0af71236ad01,2026-08-20 19:00:47.032044+00,
dbcbba59-1832-4ef2-9e29-bdfa9d4f645f,184169a9-500e-4f23-bb16-ec8faa87f42f,73e5dc58-d977-4418-8d41-d57c40270b12,1422ab71-4a45-45af-8e7c-4c72a2f9b296,2026-08-20 19:05:18.569931+00,,b30bbd1b-999c-4c4a-bdbf-0af71236ad01,2026-08-20 19:05:18.569931+00,
7a43ab03-9a1b-4f56-bacf-6c39645b2fdc,764a0c48-3e8a-4ceb-b2bc-3de5068ac1ef,60e62047-2b6d-4ce4-971a-2fc077d486b0,1422ab71-4a45-45af-8e7c-4c72a2f9b296,2026-08-22 14:32:05.660994+00,,b30bbd1b-999c-4c4a-bdbf-0af71236ad01,2026-08-22 14:32:05.660994+00,54ac35ca-0e59-4ebd-a6fb-b0b89b26ab97
4d12793d-af33-4d30-ad0c-8c06c0a6e956,764a0c48-3e8a-4ceb-b2bc-3de5068ac1ef,3435e834-1494-49c8-8613-6a6753415862,1422ab71-4a45-45af-8e7c-4c72a2f9b296,2026-08-22 14:34:02.482877+00,,b30bbd1b-999c-4c4a-bdbf-0af71236ad01,2026-08-22 14:34:02.482877+00,519752d6-db70-4938-a329-f7502986de68
993f57f9-2360-489d-a92c-fea80208af4b,6bce311a-82ec-4fb1-8a4b-bf5c120ba77a,2de71480-f42a-4f87-ad67-0bfcd8645771,1422ab71-4a45-45af-8e7c-4c72a2f9b296,2026-08-22 18:44:09.550509+00,,d8b2d654-3c92-4fb4-a52a-57012495d16d,2026-08-22 18:44:09.550509+00,
